Credit_History,LoanAmount,ApplicantIncome,CoapplicantIncome,Loan_Status_cat
1,143000,5849,0,1
1,128000,4583,1508,0
1,66000,3000,0,1
1,120000,2583,2358,1
1,141000,6000,0,1
1,267000,5417,4196,1
1,95000,2333,1516,1
0,158000,3036,2504,0
1,168000,4006,1526,1
1,349000,12841,10968,0
1,70000,3200,700,1
1,109000,2500,1840,1
1,200000,3073,8106,1
1,114000,1853,2840,0
1,17000,1299,1086,1
1,125000,4950,0,1
1,100000,3596,0,1
0,76000,3510,0,0
1,133000,4887,0,0
1,115000,2600,3500,1
0,104000,7660,0,0
1,315000,5955,5625,1
0,116000,2600,1911,0
0,112000,3365,1917,0
1,151000,3717,2925,0
1,191000,9560,0,1
1,122000,2799,2253,1
1,110000,4226,1040,1
1,35000,1442,0,0
1,120000,3750,2083,1
1,201000,4166,3369,0
1,74000,3167,0,0
1,106000,4692,0,0
1,114000,3500,1667,1
1,320000,12500,3000,0
1,71000,2275,2067,1
0,100000,1828,1330,0
1,144000,3667,1459,1
1,184000,4166,7210,1
1,110000,3748,1668,1
1,80000,3600,0,0
1,47000,1800,1213,1
1,75000,2400,0,1
1,134000,3941,2336,1
1,96000,4695,0,1
1,88000,3410,0,1
1,44000,5649,0,1
1,144000,5821,0,1
0,120000,2645,3440,0
1,144000,4000,2275,1
1,100000,1928,1644,1
1,120000,3086,0,1
1,112000,4230,0,0
1,134000,4616,0,0
0,286000,11500,0,0
1,97000,2708,1167,1
1,96000,2132,1591,1
1,135000,3366,2200,0
1,180000,8080,2250,1
1,144000,3357,2859,1
1,120000,2500,3796,1
1,99000,3029,0,1
0,165000,2609,3449,0
0,112000,4945,0,0
0,116000,4166,0,0
1,258000,5726,4595,0
0,126000,3200,2254,0
1,312000,10750,0,1
1,125000,7100,0,1
0,136000,4300,0,0
1,172000,3208,3066,1
1,97000,1875,1875,1
1,81000,3500,0,1
0,95000,4755,0,0
1,187000,5266,1774,1
1,113000,3750,0,0
1,176000,3750,4750,0
1,110000,1000,3022,0
0,180000,3167,4000,0
1,130000,3333,2166,1
1,111000,3846,0,1
1,66000,2395,0,1
1,167000,1378,1881,0
1,265000,6000,2250,0
1,50000,3988,0,1
1,136000,2366,2531,1
1,99000,3333,2000,1
1,104000,2500,2118,1
1,210000,8566,0,1
1,175000,5695,4167,1
1,131000,2958,2900,1
1,188000,6250,5654,1
1,81000,3273,1820,1
1,122000,4133,0,1
1,25000,3620,0,1
1,143000,6782,0,0
1,137000,2484,2302,1
1,50000,1977,997,1
1,115000,4188,0,1
1,131000,1759,3541,1
1,133000,4288,3263,1
1,151000,4843,3806,1
1,259000,13650,0,1
1,172000,4652,3583,1
1,160000,3816,754,1
1,100000,3052,1030,1
1,225000,11417,1126,1
1,120000,7333,0,0
0,216000,3800,3600,0
1,94000,2071,754,1
1,136000,5316,0,1
1,139000,2929,2333,1
0,152000,3572,4114,0
1,120000,7451,0,1
1,118000,5050,0,1
1,185000,14583,0,1
1,154000,3167,2283,1
1,85000,2214,1398,1
1,175000,5568,2142,0
1,259000,10408,0,1
1,180000,5667,2667,1
1,44000,4166,0,1
0,137000,2137,8980,1
1,81000,2957,0,1
1,194000,4300,2014,1
1,93000,3692,0,1
1,370000,23803,0,1
1,112000,3865,1640,1
0,160000,10513,3850,0
1,182000,6080,2569,0
1,650000,20166,0,1
1,74000,2014,1929,1
1,70000,2718,0,1
1,25000,3459,0,1
1,102000,4895,0,1
1,290000,4000,7750,0
1,84000,4583,0,0
1,88000,3316,3500,1
0,242000,14999,0,0
1,129000,4200,1430,0
1,185000,5042,2083,0
1,168000,5417,0,1
1,175000,6950,0,1
1,122000,2698,2034,1
1,187000,11757,0,1
1,100000,2330,4486,1
1,70000,14866,0,1
1,30000,1538,1425,1
1,225000,10000,1666,0
1,125000,4860,830,1
0,118000,6277,0,0
1,152000,2577,3750,1
1,244000,9166,0,0
1,113000,2281,0,0
1,50000,3254,0,1
0,600000,39999,0,1
1,160000,6000,0,1
1,187000,9538,0,1
1,120000,2980,2083,1
1,255000,4583,5625,1
1,98000,1863,1041,1
1,275000,7933,0,0
0,121000,3089,1280,0
1,158000,4167,1447,1
1,75000,9323,0,1
1,182000,3707,3166,1
1,112000,4583,0,0
1,129000,2439,3333,1
0,63000,2237,0,0
1,200000,8000,0,1
1,95000,1820,1769,1
1,700000,51763,0,1
1,81000,3522,0,0
1,187000,5708,5625,1
1,87000,4344,736,0
1,116000,3497,1964,1
1,101000,2045,1619,1
0,495000,5516,11300,0
1,116000,3750,0,1
0,102000,2333,1451,0
0,180000,6400,7250,0
1,67000,1916,5063,0
1,73000,4600,0,1
1,260000,33846,0,0
1,108000,3625,0,1
1,120000,39147,4750,1
0,66000,2178,0,0
1,58000,2383,2138,1
1,168000,674,5296,1
1,188000,9328,0,1
1,48000,4885,0,1
1,164000,12000,0,0
1,160000,6033,0,0
1,76000,3858,0,1
1,120000,4191,0,1
1,170000,3125,2583,0
1,187000,8333,3750,1
1,120000,1907,2365,1
1,113000,3416,2816,1
1,83000,11000,0,0
1,90000,2600,2500,1
0,166000,4923,0,1
1,138000,3992,0,0
1,135000,3500,1083,1
1,124000,3917,0,1
1,120000,4408,0,1
1,80000,3244,0,1
1,55000,3975,2531,1
1,59000,2479,0,1
1,127000,3418,0,0
1,214000,10000,0,0
0,128000,3430,1250,0
1,240000,7787,0,1
1,130000,5703,0,1
1,137000,3173,3021,1
1,100000,3850,983,1
1,135000,150,1800,0
1,131000,3727,1775,1
0,72000,5000,0,0
1,127000,4283,2383,1
0,60000,2221,0,0
1,116000,4009,1717,1
1,144000,2971,2791,1
1,175000,7578,1010,1
