ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_cat,Married_cat,Dependents_cat,Education_cat,Self_Employed_cat,Property_Area_cat,Loan_Status_cat
5849,0,143000,360,1,2,1,2,0,1,2,1
4583,1508,128000,360,1,2,2,3,0,1,0,0
3000,0,66000,360,1,2,2,2,0,2,2,1
2583,2358,120000,360,1,2,2,2,1,1,2,1
6000,0,141000,360,1,2,1,2,0,1,2,1
5417,4196,267000,360,1,2,2,4,0,2,2,1
2333,1516,95000,360,1,2,2,2,1,1,2,1
3036,2504,158000,360,0,2,2,5,0,1,1,0
4006,1526,168000,360,1,2,2,4,0,1,2,1
12841,10968,349000,360,1,2,2,3,0,1,1,0
3200,700,70000,360,1,2,2,4,0,1,2,1
2500,1840,109000,360,1,2,2,4,0,0,2,1
3073,8106,200000,360,1,2,2,4,0,1,2,1
1853,2840,114000,360,1,2,1,2,0,1,0,0
1299,1086,17000,120,1,2,2,4,0,1,2,1
4950,0,125000,360,1,2,1,2,0,1,2,1
3596,0,100000,240,1,2,1,3,1,1,2,1
3510,0,76000,360,0,1,1,2,0,1,2,0
4887,0,133000,360,1,2,2,2,1,1,0,0
2600,3500,115000,360,1,2,2,2,0,0,2,1
7660,0,104000,360,0,2,2,2,1,1,2,0
5955,5625,315000,360,1,2,2,3,0,1,2,1
2600,1911,116000,360,0,2,2,2,1,1,1,0
3365,1917,112000,360,0,0,2,4,1,1,0,0
3717,2925,151000,360,1,2,2,3,0,0,1,0
9560,0,191000,360,1,2,2,2,0,2,1,1
2799,2253,122000,360,1,2,2,2,0,1,1,1
4226,1040,110000,360,1,2,2,4,1,1,2,1
1442,0,35000,360,1,2,1,2,1,1,2,0
3750,2083,120000,360,1,1,1,4,0,0,1,1
4166,3369,201000,360,1,2,2,3,0,0,2,0
3167,0,74000,360,1,2,1,2,0,1,2,0
4692,0,106000,360,1,2,1,3,0,2,0,0
3500,1667,114000,360,1,2,2,2,0,1,1,1
12500,3000,320000,360,1,2,1,5,0,1,0,0
2275,2067,71000,360,1,2,2,2,0,1,2,1
1828,1330,100000,360,0,2,2,2,0,1,2,0
3667,1459,144000,360,1,1,2,2,0,1,1,1
4166,7210,184000,360,1,2,1,2,0,1,2,1
3748,1668,110000,360,1,2,1,2,1,1,1,1
3600,0,80000,360,1,2,1,2,0,1,2,0
1800,1213,47000,360,1,2,1,2,0,1,2,1
2400,0,75000,360,1,2,2,2,0,1,2,1
3941,2336,134000,360,1,2,2,2,0,1,1,1
4695,0,96000,360,1,2,2,2,1,2,2,1
3410,0,88000,360,1,1,1,2,0,1,2,1
5649,0,44000,360,1,2,2,3,0,1,2,1
5821,0,144000,360,1,2,2,2,0,1,2,1
2645,3440,120000,360,0,1,2,2,0,1,2,0
4000,2275,144000,360,1,1,1,2,0,1,1,1
1928,1644,100000,360,1,1,2,2,1,1,1,1
3086,0,120000,360,1,1,1,2,0,1,1,1
4230,0,112000,360,1,1,1,2,0,1,1,0
4616,0,134000,360,1,2,2,4,0,1,2,0
11500,0,286000,360,0,1,2,3,0,2,2,0
2708,1167,97000,360,1,2,2,4,0,1,1,1
2132,1591,96000,360,1,2,2,2,0,1,1,1
3366,2200,135000,360,1,2,2,2,0,1,0,0
8080,2250,180000,360,1,2,2,3,0,1,2,1
3357,2859,144000,360,1,2,2,4,1,1,2,1
2500,3796,120000,360,1,2,2,2,0,1,2,1
3029,0,99000,360,1,2,2,5,0,1,2,1
2609,3449,165000,180,0,2,2,2,1,2,0,0
4945,0,112000,360,0,2,2,3,0,1,0,0
4166,0,116000,360,0,1,1,2,0,1,1,0
5726,4595,258000,360,1,2,2,2,0,1,1,0
3200,2254,126000,180,0,2,1,2,1,1,2,0
10750,0,312000,360,1,2,2,3,0,1,2,1
7100,0,125000,60,1,2,2,5,1,2,2,1
4300,0,136000,360,0,1,1,2,0,1,1,0
3208,3066,172000,360,1,2,2,2,0,1,2,1
1875,1875,97000,360,1,2,2,4,1,2,1,1
3500,0,81000,300,1,2,1,2,0,1,1,1
4755,0,95000,360,0,2,2,5,1,1,1,0
5266,1774,187000,360,1,2,2,5,0,2,1,1
3750,0,113000,480,1,2,1,2,0,1,2,0
3750,4750,176000,360,1,2,1,2,0,1,2,0
